np_tag_id,record_id,table_id,title,description
1,34,0,"GUI Tools Prototype",""
2,133,0,"Select",""
3,39,0,"Color",""
4,40,0,"Branch Level",""
5,50,0,"Level 6",""
6,51,0,"Level 2",""
7,42,0,"Scale",""
8,43,0,"Geometry",""
9,45,0,"",""
